AREAKEY,SHR0D,SHRWHT0,SHRBLK0,SHRAMI0N,SHRASN0N,SHRHIP0N,SHRHSP0,ADULT0,CHILD0,OLD0,NUMHHS0,NONFAM0,WNONFAM0,WRCNTY0D,WRKSM0,WKHOME0,COMMUT20,WM16P0,WMEMP0,WF16P0,WFEMP0,WORKER30,POVRAT0,WELFARE0,AVWELIN0,AVSSI0,MDFAMY0,AVSOCS0,AVRETR0,TOTHSUN0,VACHU0,RNTOCC0
06059021914,4265,0.711137,0.010551,18,307,3,0.342321,0.741618,0.258382,0.085346,1314,321,283,2101,0.831985,92,1153,1197,887,1215,771,185,0.109785,0.065449,7483.523256,11300.268293,70395,12989.437500,19170.859551,1360,38,357
06059021915,4074,0.755768,0.008100,0,793,13,0.095484,0.776878,0.223122,0.138930,1454,278,242,2062,0.801649,115,1161,1223,925,1287,702,166,0.025945,0.035076,6721.568627,10042.424242,97374,13007.226107,21443.322476,1479,28,145
06059021916,3882,0.810407,0.011850,8,669,0,0.052808,0.809377,0.190623,0.202731,1443,396,389,1751,0.740148,77,711,1198,788,1453,668,172,0.020866,0.028413,8058.414634,8840.459459,110340,14149.817102,19499.435616,1476,28,292
06059021917,3358,0.889518,0.010423,7,276,3,0.080405,0.749851,0.250149,0.095295,1130,128,119,1644,0.864964,76,904,1102,838,1163,641,110,0.050898,0.007965,12785.222222,12778.444444,103855,15017.647619,23765.877273,1165,29,69
06059021918,4960,0.790726,0.016734,3,609,47,0.233669,0.792137,0.207863,0.096169,1829,513,455,2837,0.853719,111,1544,1581,1206,1604,1084,273,0.106030,0.075998,6825.899281,6641.111111,76906,11135.646688,16217.391304,1833,32,266
06059021919,2816,0.808594,0.004261,20,341,0,0.091264,0.745384,0.254616,0.115767,1005,225,201,1364,0.755865,114,556,824,622,932,504,78,0.045782,0.042786,2127.906977,2968.421053,98668,12729.487179,16097.285068,1071,38,284
06059021920,5276,0.807809,0.007771,43,843,1,0.079985,0.789045,0.210955,0.114102,2003,408,390,2984,0.793901,192,1200,1698,1385,1819,1129,233,0.021842,0.018472,9003.270270,10608.709677,103127,13683.228512,16355.650558,2019,21,239
06059021921,4520,0.710177,0.004425,0,1042,8,0.092257,0.686504,0.313496,0.065044,1367,91,79,2109,0.778568,108,947,1191,996,1111,565,164,0.016075,0.035113,7177.083333,8121.621622,115553,11441.250000,26475.661376,1380,18,70
06059021922,4581,0.733246,0.036455,24,863,2,0.116350,0.773412,0.226588,0.045187,2036,813,618,2687,0.694455,53,789,1290,1095,1340,911,110,0.015748,0.019646,3222.500000,4822.222222,81653,10513.963964,15757.653061,2086,52,553
06059021923,5927,0.727518,0.022608,1,1335,7,0.112873,0.734267,0.265564,0.034419,2167,506,408,3324,0.707581,112,1020,1546,1349,1614,1139,149,0.017559,0.021689,6649.446809,5916.818182,101212,14889.357143,21894.612022,2269,108,164
06059021924,4364,0.632676,0.017644,24,1346,0,0.111137,0.703941,0.295830,0.041247,1468,131,109,2253,0.725699,33,756,988,873,874,564,112,0.032081,0.051771,5988.434211,5985.513158,93564,9244.717742,19266.589286,1523,53,328
06059032002,6157,0.860322,0.018840,16,458,33,0.108819,0.737859,0.262141,0.089167,2046,339,290,2977,0.873362,174,1641,1943,1447,2036,1095,205,0.052088,0.038123,5365.384615,6258.000000,83719,13943.324937,23447.398844,2084,25,320
06059032003,4979,0.909620,0.008034,39,216,2,0.103836,0.727455,0.272545,0.116288,1594,225,211,2302,0.890530,89,1388,1679,1202,1733,912,188,0.053056,0.026349,8869.047619,10734.375000,91466,12984.302326,24320.952381,1585,10,98
06059032011,1735,0.949856,0.000000,3,54,3,0.041499,0.810951,0.187896,0.044957,732,268,268,1121,0.897413,152,327,680,624,638,450,51,0.013833,0.020492,4969.866667,7926.666667,104102,12936.541667,4761.000000,792,72,179
06059032012,3709,0.895120,0.011863,25,234,11,0.095713,0.752764,0.246967,0.108385,1271,199,199,1944,0.920782,118,1202,1226,901,1383,823,150,0.057189,0.060582,5411.805195,6391.531250,89580,13036.509363,23908.938679,1291,4,180
06059032013,3528,0.890023,0.004252,0,198,26,0.085601,0.797619,0.202381,0.178571,1319,360,341,1871,0.890433,138,1137,1137,914,1417,740,107,0.032880,0.041698,8115.818182,9642.214286,103390,12466.082645,16548.234310,1342,21,272
06059032014,6133,0.716941,0.026578,44,581,115,0.360346,0.779716,0.220121,0.270504,1911,666,639,2415,0.954451,111,1673,1492,879,1989,689,252,0.107583,0.057561,7230.727273,7726.160920,47111,12426.883827,12838.802000,1984,62,458
06059032015,6735,0.823460,0.034744,10,701,2,0.143578,0.748478,0.251670,0.136006,1955,377,336,3381,0.882579,211,2127,2015,1570,2278,1169,293,0.066856,0.049105,5796.041667,5101.675676,83495,12771.618605,24192.904255,1984,22,361
06059032020,6030,0.866998,0.016418,35,495,8,0.123217,0.694859,0.305141,0.050083,1920,258,245,3230,0.877399,111,1829,1924,1567,1898,1276,272,0.021605,0.022396,7243.488372,7933.142857,90930,11997.211409,14531.422222,1916,18,336
06059032022,6291,0.762041,0.032109,51,416,31,0.321729,0.721984,0.278016,0.068987,2196,707,610,3400,0.914412,141,2220,1665,1354,1878,1355,244,0.048015,0.059199,4498.461538,5946.590909,60412,12135.060976,13703.370787,2232,44,979
06059032023,2735,0.931627,0.002559,9,109,10,0.119927,0.671664,0.328336,0.059232,817,64,64,1241,0.892828,43,672,898,669,873,467,84,0.046537,0.056304,4100.021739,6744.500000,100725,15433.690265,25565.902439,861,45,74
06059032027,6324,0.728969,0.021664,36,777,8,0.288583,0.692441,0.307559,0.032891,2031,514,409,3407,0.925154,123,1964,1600,1343,1607,1120,361,0.044441,0.034466,6030.000000,6661.363636,65425,10594.078947,11229.213483,2064,33,830
06059032028,3157,0.783972,0.013304,69,327,3,0.232499,0.724739,0.275261,0.035793,1259,433,358,1737,0.898676,34,987,779,627,1057,738,86,0.047830,0.042891,5253.703704,8162.500000,59643,10554.878049,19640.350877,1276,28,407
06059032029,4681,0.791070,0.032044,45,488,5,0.122196,0.684469,0.315317,0.028199,1503,268,250,2608,0.923696,26,1278,1328,1145,1290,967,225,0.031572,0.044578,3139.388060,2705.441176,80593,9620.574074,13075.991597,1529,13,243
